precision,recall,threshold
0.06864064602960969,1.0,1.3145202891342045e-05
0.06873315363881402,1.0,1.3221212771676559e-05
0.06882591093117409,1.0,1.3235008266861313e-05
0.06891891891891892,1.0,1.323950199310533e-05
0.06901217861975643,1.0,1.3261970427158172e-05
0.06910569105691057,1.0,1.3301943599317394e-05
0.06919945725915876,1.0,1.3367154095748012e-05
0.06929347826086957,1.0,1.3398267816656975e-05
0.06938775510204082,1.0,1.341215390835617e-05
0.06948228882833787,1.0,1.3431116656989541e-05
0.06957708049113233,1.0,1.3436554983975287e-05
0.06967213114754098,1.0,1.3556985852051214e-05
0.06976744186046512,1.0,1.3676240199461621e-05
0.06986301369863014,1.0,1.3706704805290465e-05
0.06995884773662552,1.0,1.3721549527391566e-05
0.07005494505494506,1.0,1.373546593558082e-05
0.07015130674002751,1.0,1.3791462310595126e-05
0.07024793388429752,1.0,1.3806488861811053e-05
0.0703448275862069,1.0,1.3866126312554538e-05
0.07044198895027624,1.0,1.388753473578433e-05
0.07053941908713693,1.0,1.3906153277505155e-05
0.07093184979137691,1.0,1.3929904383907352e-05
0.07103064066852367,1.0,1.3940393502031327e-05
0.07112970711297072,1.0,1.3942789570566041e-05
0.07142857142857142,1.0,1.3967990428608497e-05
0.07152875175315568,1.0,1.4069128232758678e-05
0.07162921348314606,1.0,1.410759180203263e-05
0.07213578500707214,1.0,1.4123125971538912e-05
0.07223796033994334,1.0,1.4136831018358654e-05
0.07244318181818182,1.0,1.4141095189010808e-05
0.07254623044096728,1.0,1.4203733677335288e-05
0.07264957264957266,1.0,1.4211706026500879e-05
0.07275320970042796,1.0,1.424450548977175e-05
0.07285714285714286,1.0,1.4255556451926495e-05
0.07296137339055794,1.0,1.429502837994548e-05
0.07306590257879657,1.0,1.4356360206694832e-05
0.07338129496402877,1.0,1.4356662410565427e-05
0.07348703170028818,1.0,1.4427607265792816e-05
0.0735930735930736,1.0,1.4486651829488265e-05
0.07369942196531792,1.0,1.4543113068737485e-05
0.07391304347826087,1.0,1.4561010198317661e-05
0.07402031930333818,1.0,1.4572582771273506e-05
0.07412790697674419,1.0,1.4627676039634859e-05
0.07423580786026202,1.0,1.4640133430729872e-05
0.07434402332361516,1.0,1.4671527417525198e-05
0.07445255474452554,1.0,1.467341591517025e-05
0.07456140350877193,1.0,1.4745455941309285e-05
